ID	NAME
"1"	"band_1"
"2"	"band_2"
"4"	"band_3"
"8"	"band_4"
"16"	"band_5"
"32"	"band_6"
"64"	"band_7"
"128"	"band_8"
"256"	"band_9"
"512"	"band_10"
"1024"	"band_11"
"2048"	"band_12"
"4096"	"band_13"
"8192"	"band_14"
"16384"	"band_15"
"32768"	"band_16"
"65536"	"band_17"
"131072"	"band_18"
"262144"	"band_19"
"524288"	"band_20"
"1048576"	"band_21"
"2097152"	"band_22"
"4194304"	"band_23"
"8388608"	"band_24"
"16777216"	"band_25"
"33554432"	"band_26"
"67108864"	"band_27"
"134217728"	"band_28"
"268435456"	"band_29"
"536870912"	"band_30"
"1073741824"	"band_31"
"2147483648"	"band_32"
"4294967296"	"band_33"
"8589934592"	"band_34"
"17179869184"	"band_35"
"34359738368"	"band_36"
"68719476736"	"band_37"
"137438953472"	"band_38"
"274877906944"	"band_39"
"549755813888"	"band_40"
"1099511627776"	"band_41"
"2199023255552"	"band_42"
"4398046511104"	"band_43"
"8796093022208"	"band_44"
"17592186044416"	"band_45"
"35184372088832"	"band_46"
"70368744177664"	"band_47"
"140737488355328"	"band_48"
"281474976710656"	"band_65"
"562949953421312"	"band_66"
"1125899906842624"	"band_67"
"2251799813685248"	"band_68"
"4503599627370496"	"band_69"
"9007199254740992"	"band_70"
