Number	id
"549755813888"	"band40"
"274877906944"	"band39"
"137438953472"	"band38"
"68719476736"	"band37"
"34359738368"	"band36"
"17179869184"	"band35"
"8589934592"	"band34"
"4294967296"	"band33"
"2147483648"	"band32"
"33554432"	"band31"
"16777216"	"band25"
"2097152"	"band22"
"1048576"	"band21"
"524288"	"band20"
"262144"	"band19"
"8192"	"band14"
"4096"	"band13"
"2048"	"band12"
"1024"	"band11"
"512"	"band10"
"256"	"band9"
"128"	"band8"
"64"	"band7"
"32"	"band6"
"16"	"band5"
"8"	"band4"
"4"	"band3"
"2"	"band2"
"1"	"band1"
